id,name,popularity,genres,related_artist_ids,related_artist_names
6FQqZYVfTNQ1pCqfkwVFEa,Foals,65,"['indie rock', 'modern rock', 'oxford indie', 'rock']","['22RISwgVJyZu9lpqAcv1F5', '45FqwUG4hTT6d39r2HUsUe', '6ssXMmc5EOUrauZxirM910', '7DruTvBV7owt1aSAZHsU58', '0vW8z9pZMGCcRtGPGtyqiB', '4fgXfJCQnK6c44u4KzAtQP', '3MM8mtgFzaEJsqbjZBSsHJ', '3btzEQD6sugImIHPMRgkwV', '1HOeqtP7tHkKNJNLzQ2tnr', '1ShwUjKIwQRaUJij7jgRhp', '7243txmysJ4KbRmH8UAMKO', '3pTE9iaJTkWns3mxpNQlJV', '2qlAMLpUyBjZgnzuFXXZXI', '0Ak6DLKHtpR6TEEnmcorKA', '09K1H1DgyIXHsMx2j7KTFX', '6hl5k4gLl1p3sjhHcb57t2', '6e9wIFWhBPHLE9bXK8gtBI', '048FBwXjFYBWxSggPDipic', '3Rsr4Z96O6U3lToOiV3zBh', '6zlR5ttMfMNmwf2lecU9Cc']","['Blossoms', 'Sea Girls', 'White Lies', 'Viola Beach', 'The Maccabees', 'Sundara Karma', 'Bloc Party', 'Wolf Alice', 'Everything Everything', 'The Night Café', 'The Amazons', 'Bombay Bicycle Club', 'Klaxons', 'The Vaccines', 'Mystery Jets', 'Circa Waves', 'Editors', 'Maximo Park', 'Jamie T', 'Sam Fender']"
22RISwgVJyZu9lpqAcv1F5,Blossoms,58,"['english indie rock', 'modern rock', 'rock']","['4fgXfJCQnK6c44u4KzAtQP', '45FqwUG4hTT6d39r2HUsUe', '7DruTvBV7owt1aSAZHsU58', '52pNByiBWx6SVMMqqcCA74', '4hfrzKkUsrb3Cz209SKxbo', '1ShwUjKIwQRaUJij7jgRhp', '7jZycSvTyx0W9poD4PjEIG', '3E3NOIlw2s1ZPU9GRB9jaq', '6hl5k4gLl1p3sjhHcb57t2', '7MkyChCSbNBozQ6jq79lop', '7cpCnhhBIU1gA7EhTFApN1', '6zlR5ttMfMNmwf2lecU9Cc', '6hWReUQlQwLTYlmZ1vltRB', '7243txmysJ4KbRmH8UAMKO', '5CMAV0Fr8uS2YqlR1ZG5lA', '5YA1c6yVkPnflTLMfOgjzc', '04JIxSs2P0iteVWtaskfeh', '4AzAfQNuAyKOFG4DZMsdAo', '0vnJ2wR879kbb5MuzblVOb', '4SrofCfzlhtiKRAsMfBxV4']","['Sundara Karma', 'Sea Girls', 'Viola Beach', 'The Magic Gang', 'Ten Tonnes', 'The Night Café', 'The Hunna', 'JAWS', 'Circa Waves', 'Marsicans', 'Gerry Cinnamon', 'Sam Fender', 'King No-One', 'The Amazons', 'High Tyde', 'Vistas', 'Sports Team', 'The Snuts', 'Clean Cut Kid', 'The Sherlocks']"
45FqwUG4hTT6d39r2HUsUe,Sea Girls,53,"['english indie rock', 'modern alternative rock', 'modern rock', 'rock', 'uk pop']","['4fgXfJCQnK6c44u4KzAtQP', '22RISwgVJyZu9lpqAcv1F5', '4hfrzKkUsrb3Cz209SKxbo', '7DruTvBV7owt1aSAZHsU58', '1ShwUjKIwQRaUJij7jgRhp', '7MkyChCSbNBozQ6jq79lop', '52pNByiBWx6SVMMqqcCA74', '7jZycSvTyx0W9poD4PjEIG', '6hl5k4gLl1p3sjhHcb57t2', '6hWReUQlQwLTYlmZ1vltRB', '3E3NOIlw2s1ZPU9GRB9jaq', '5YA1c6yVkPnflTLMfOgjzc', '7243txmysJ4KbRmH8UAMKO', '5CMAV0Fr8uS2YqlR1ZG5lA', '7cpCnhhBIU1gA7EhTFApN1', '0vnJ2wR879kbb5MuzblVOb', '0hSgRl2U8kSaJLE2Di325f', '3uhfMjcE5HJqMIWh3Iolw0', '6zlR5ttMfMNmwf2lecU9Cc', '3VRqGLyj4cnRers46I0Yk4']","['Sundara Karma', 'Blossoms', 'Ten Tonnes', 'Viola Beach', 'The Night Café', 'Marsicans', 'The Magic Gang', 'The Hunna', 'Circa Waves', 'King No-One', 'JAWS', 'Vistas', 'The Amazons', 'High Tyde', 'Gerry Cinnamon', 'Clean Cut Kid', 'Bad Sounds', 'The Pale White', 'Sam Fender', 'SPINN']"
6ssXMmc5EOUrauZxirM910,White Lies,57,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock']","['6e9wIFWhBPHLE9bXK8gtBI', '2qlAMLpUyBjZgnzuFXXZXI', '3MM8mtgFzaEJsqbjZBSsHJ', '35YNL4wwv11ZkmeWWL51y7', '0LbLWjaweRbO4FDKYlbfNt', '2bcrMsFlF632EQ6VZERWFu', '7M6zxq59QM0CMvvYprtzOZ', '14Gi3Uph96lpNB3utkoVAD', '048FBwXjFYBWxSggPDipic', '0vW8z9pZMGCcRtGPGtyqiB', '7DEseTqRODmSu3C7jxCHl5', '18Zv2g2vUcEGqJf6WnjfXN', '3r6Sk3pYxdJk7MekhBGgMR', '3WaJSfKnzc65VDgmj2zU8B', '11wRdbnoYqRddKBrpHt4Ue', '450iujbtN6XgiA9pv6fVZz', '09K1H1DgyIXHsMx2j7KTFX', '0XNa1vTidXlvJ2gHSsRi4A', '2Z7UcsdweVlRbAk5wH5fsf', '7FPkZue0zzjHaOPJb4WCw3']","['Editors', 'Klaxons', 'Bloc Party', 'We Are Scientists', 'Kaiser Chiefs', 'The Bravery', 'The Cinematics', 'Hard-FI', 'Maximo Park', 'The Maccabees', 'The Boxer Rebellion', 'Brandon Flowers', 'Blood Red Shoes', 'Interpol', 'Kasabian', 'Razorlight', 'Mystery Jets', 'Franz Ferdinand', 'The Last Shadow Puppets', 'The Pigeon Detectives']"
7DruTvBV7owt1aSAZHsU58,Viola Beach,45,"['english indie rock', 'modern alternative rock', 'modern rock', 'warrington indie']","['4hfrzKkUsrb3Cz209SKxbo', '4fgXfJCQnK6c44u4KzAtQP', '7jZycSvTyx0W9poD4PjEIG', '22RISwgVJyZu9lpqAcv1F5', '45FqwUG4hTT6d39r2HUsUe', '1ShwUjKIwQRaUJij7jgRhp', '52pNByiBWx6SVMMqqcCA74', '7MkyChCSbNBozQ6jq79lop', '3E3NOIlw2s1ZPU9GRB9jaq', '6hl5k4gLl1p3sjhHcb57t2', '6hWReUQlQwLTYlmZ1vltRB', '5CMAV0Fr8uS2YqlR1ZG5lA', '0vnJ2wR879kbb5MuzblVOb', '4Xxkt0tSJr1uNxGDZcJLRc', '7cpCnhhBIU1gA7EhTFApN1', '6zlR5ttMfMNmwf2lecU9Cc', '4AzAfQNuAyKOFG4DZMsdAo', '7243txmysJ4KbRmH8UAMKO', '5YA1c6yVkPnflTLMfOgjzc', '0hSgRl2U8kSaJLE2Di325f']","['Ten Tonnes', 'Sundara Karma', 'The Hunna', 'Blossoms', 'Sea Girls', 'The Night Café', 'The Magic Gang', 'Marsicans', 'JAWS', 'Circa Waves', 'King No-One', 'High Tyde', 'Clean Cut Kid', 'VANT', 'Gerry Cinnamon', 'Sam Fender', 'The Snuts', 'The Amazons', 'Vistas', 'Bad Sounds']"
0vW8z9pZMGCcRtGPGtyqiB,The Maccabees,50,"['alternative dance', 'british indie rock', 'indie rock', 'modern rock', 'new rave']","['09K1H1DgyIXHsMx2j7KTFX', '51Eq6WMVEOjjx9KQMAnneG', '1SBU4DvQapOFCnxMzENUkp', '3pTE9iaJTkWns3mxpNQlJV', '7FPkZue0zzjHaOPJb4WCw3', '3TBfn8PtXr42OrTPaoC3E8', '3Rsr4Z96O6U3lToOiV3zBh', '7mDQwcnDUGuSoggxbUtVc1', '35YNL4wwv11ZkmeWWL51y7', '048FBwXjFYBWxSggPDipic', '1VyVjE6tvQiM8T8a3WcYQd', '1fy3AQc7grjf5LnCd7snSg', '3Sr1muUE6DYihFufoHpnfc', '4kYNTq3njMHBcnv8Di0v0Y', '3MM8mtgFzaEJsqbjZBSsHJ', '4fSPtBgFPZzygkY6MehwQ7', '01ZP85CNi7Y9t1e0one46k', '7cfhZmKaLWzNLwHDxzugUH', '1KlihEB7FggW8e9cMbPXAz', '2qlAMLpUyBjZgnzuFXXZXI']","['Mystery Jets', 'The Cribs', 'Good Shoes', 'Bombay Bicycle Club', 'The Pigeon Detectives', 'The Futureheads', 'Jamie T', 'The Rakes', 'We Are Scientists', 'Maximo Park', 'Jack Peñate', 'The View', 'The Rifles', 'Young Knives', 'Bloc Party', 'The Libertines', 'The Enemy', 'Little Comets', 'Milburn', 'Klaxons']"
4fgXfJCQnK6c44u4KzAtQP,Sundara Karma,51,"['english indie rock', 'modern alternative rock', 'modern rock', 'reading indie', 'rock']","['7jZycSvTyx0W9poD4PjEIG', '7DruTvBV7owt1aSAZHsU58', '22RISwgVJyZu9lpqAcv1F5', '3E3NOIlw2s1ZPU9GRB9jaq', '1ShwUjKIwQRaUJij7jgRhp', '52pNByiBWx6SVMMqqcCA74', '45FqwUG4hTT6d39r2HUsUe', '6hWReUQlQwLTYlmZ1vltRB', '5CMAV0Fr8uS2YqlR1ZG5lA', '4hfrzKkUsrb3Cz209SKxbo', '6hl5k4gLl1p3sjhHcb57t2', '7MkyChCSbNBozQ6jq79lop', '0vnJ2wR879kbb5MuzblVOb', '4Xxkt0tSJr1uNxGDZcJLRc', '7243txmysJ4KbRmH8UAMKO', '79RmzX8i9w6YwqJjg3O1MY', '3uhfMjcE5HJqMIWh3Iolw0', '6zlR5ttMfMNmwf2lecU9Cc', '4SrofCfzlhtiKRAsMfBxV4', '0hSgRl2U8kSaJLE2Di325f']","['The Hunna', 'Viola Beach', 'Blossoms', 'JAWS', 'The Night Café', 'The Magic Gang', 'Sea Girls', 'King No-One', 'High Tyde', 'Ten Tonnes', 'Circa Waves', 'Marsicans', 'Clean Cut Kid', 'VANT', 'The Amazons', 'Blaenavon', 'The Pale White', 'Sam Fender', 'The Sherlocks', 'Bad Sounds']"
3MM8mtgFzaEJsqbjZBSsHJ,Bloc Party,60,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock']","['35YNL4wwv11ZkmeWWL51y7', '0vW8z9pZMGCcRtGPGtyqiB', '3TBfn8PtXr42OrTPaoC3E8', '2qlAMLpUyBjZgnzuFXXZXI', '2bcrMsFlF632EQ6VZERWFu', '6e9wIFWhBPHLE9bXK8gtBI', '048FBwXjFYBWxSggPDipic', '51Eq6WMVEOjjx9KQMAnneG', '6ssXMmc5EOUrauZxirM910', '7mDQwcnDUGuSoggxbUtVc1', '14Gi3Uph96lpNB3utkoVAD', '09K1H1DgyIXHsMx2j7KTFX', '0LbLWjaweRbO4FDKYlbfNt', '3r6Sk3pYxdJk7MekhBGgMR', '3WaJSfKnzc65VDgmj2zU8B', '7FPkZue0zzjHaOPJb4WCw3', '4BntNFyiN3VGG4hhRRZt9d', '4fSPtBgFPZzygkY6MehwQ7', '3pTE9iaJTkWns3mxpNQlJV', '0XNa1vTidXlvJ2gHSsRi4A']","['We Are Scientists', 'The Maccabees', 'The Futureheads', 'Klaxons', 'The Bravery', 'Editors', 'Maximo Park', 'The Cribs', 'White Lies', 'The Rakes', 'Hard-FI', 'Mystery Jets', 'Kaiser Chiefs', 'Blood Red Shoes', 'Interpol', 'The Pigeon Detectives', 'The Subways', 'The Libertines', 'Bombay Bicycle Club', 'Franz Ferdinand']"
3btzEQD6sugImIHPMRgkwV,Wolf Alice,61,"['art pop', 'indie pop', 'modern alternative rock', 'modern rock']","['22RISwgVJyZu9lpqAcv1F5', '0KU55rzxAihPhi27MAuz9O', '2oVmQT6s29pVIKpqJkyxBS', '52pNByiBWx6SVMMqqcCA74', '2ATweaQe83QUQVjM8LMh7J', '04JIxSs2P0iteVWtaskfeh', '4fgXfJCQnK6c44u4KzAtQP', '45FqwUG4hTT6d39r2HUsUe', '1xVcjJ5YsYOClO2Unt3Rm8', '1ShwUjKIwQRaUJij7jgRhp', '7243txmysJ4KbRmH8UAMKO', '6FQqZYVfTNQ1pCqfkwVFEa', '6hl5k4gLl1p3sjhHcb57t2', '7DruTvBV7owt1aSAZHsU58', '0wOej91SVqB1zcYkW6xUtA', '3K9muOlJVKLgH4SIwwZiDe', '34nBPbcVc9F9eizQC4a5aT', '0vW8z9pZMGCcRtGPGtyqiB', '2O9XW1nnGRMkMV1wpK8IiS', '6zlR5ttMfMNmwf2lecU9Cc']","['Blossoms', 'The Big Moon', 'Black Honey', 'The Magic Gang', 'Gengahr', 'Sports Team', 'Sundara Karma', 'Sea Girls', 'Sunflower Bean', 'The Night Café', 'The Amazons', 'Foals', 'Circa Waves', 'Viola Beach', 'Pale Waves', 'Self Esteem', 'Spector', 'The Maccabees', 'Peace', 'Sam Fender']"
1HOeqtP7tHkKNJNLzQ2tnr,Everything Everything,54,"['alternative dance', 'experimental pop', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave']","['09K1H1DgyIXHsMx2j7KTFX', '3pTE9iaJTkWns3mxpNQlJV', '0vW8z9pZMGCcRtGPGtyqiB', '7cfhZmKaLWzNLwHDxzugUH', '4zrFO6P7G6EZry0pfxMfKT', '5ERkupmHea6uS0nwKr2zcz', '2ARO60gI5do88ho6azmzab', '34nBPbcVc9F9eizQC4a5aT', '048FBwXjFYBWxSggPDipic', '2qlAMLpUyBjZgnzuFXXZXI', '3MM8mtgFzaEJsqbjZBSsHJ', '0Ak6DLKHtpR6TEEnmcorKA', '35YNL4wwv11ZkmeWWL51y7', '51Eq6WMVEOjjx9KQMAnneG', '2ATweaQe83QUQVjM8LMh7J', '6FQqZYVfTNQ1pCqfkwVFEa', '6ssXMmc5EOUrauZxirM910', '2O9XW1nnGRMkMV1wpK8IiS', '5zhn89Em2jWUUWdpcLO3YL', '6VsiDFMZJlJ053P1uO4A6h']","['Mystery Jets', 'Bombay Bicycle Club', 'The Maccabees', 'Little Comets', 'Wild Beasts', 'Darwin Deez', 'Django Django', 'Spector', 'Maximo Park', 'Klaxons', 'Bloc Party', 'The Vaccines', 'We Are Scientists', 'The Cribs', 'Gengahr', 'Foals', 'White Lies', 'Peace', 'Sea Power', 'Public Service Broadcasting']"
1ShwUjKIwQRaUJij7jgRhp,The Night Café,48,"['english indie rock', 'liverpool indie', 'modern alternative rock', 'modern rock', 'rock']","['4fgXfJCQnK6c44u4KzAtQP', '5CMAV0Fr8uS2YqlR1ZG5lA', '45FqwUG4hTT6d39r2HUsUe', '7jZycSvTyx0W9poD4PjEIG', '7DruTvBV7owt1aSAZHsU58', '3E3NOIlw2s1ZPU9GRB9jaq', '4hfrzKkUsrb3Cz209SKxbo', '6hWReUQlQwLTYlmZ1vltRB', '22RISwgVJyZu9lpqAcv1F5', '7MkyChCSbNBozQ6jq79lop', '5YA1c6yVkPnflTLMfOgjzc', '0vnJ2wR879kbb5MuzblVOb', '52pNByiBWx6SVMMqqcCA74', '6hl5k4gLl1p3sjhHcb57t2', '7243txmysJ4KbRmH8UAMKO', '4Xxkt0tSJr1uNxGDZcJLRc', '3uhfMjcE5HJqMIWh3Iolw0', '04JIxSs2P0iteVWtaskfeh', '6zlR5ttMfMNmwf2lecU9Cc', '79RmzX8i9w6YwqJjg3O1MY']","['Sundara Karma', 'High Tyde', 'Sea Girls', 'The Hunna', 'Viola Beach', 'JAWS', 'Ten Tonnes', 'King No-One', 'Blossoms', 'Marsicans', 'Vistas', 'Clean Cut Kid', 'The Magic Gang', 'Circa Waves', 'The Amazons', 'VANT', 'The Pale White', 'Sports Team', 'Sam Fender', 'Blaenavon']"
7243txmysJ4KbRmH8UAMKO,The Amazons,47,"['english indie rock', 'garage rock revival', 'modern alternative rock', 'modern rock', 'reading indie', 'rock']","['4hfrzKkUsrb3Cz209SKxbo', '1ShwUjKIwQRaUJij7jgRhp', '4fgXfJCQnK6c44u4KzAtQP', '45FqwUG4hTT6d39r2HUsUe', '6hWReUQlQwLTYlmZ1vltRB', '3uhfMjcE5HJqMIWh3Iolw0', '52pNByiBWx6SVMMqqcCA74', '7jZycSvTyx0W9poD4PjEIG', '7DruTvBV7owt1aSAZHsU58', '3E3NOIlw2s1ZPU9GRB9jaq', '22RISwgVJyZu9lpqAcv1F5', '5CMAV0Fr8uS2YqlR1ZG5lA', '6hl5k4gLl1p3sjhHcb57t2', '4Xxkt0tSJr1uNxGDZcJLRc', '0vnJ2wR879kbb5MuzblVOb', '6DaXEbr3LdLNcui8pZf6AF', '7MkyChCSbNBozQ6jq79lop', '5YA1c6yVkPnflTLMfOgjzc', '6zlR5ttMfMNmwf2lecU9Cc', '4AzAfQNuAyKOFG4DZMsdAo']","['Ten Tonnes', 'The Night Café', 'Sundara Karma', 'Sea Girls', 'King No-One', 'The Pale White', 'The Magic Gang', 'The Hunna', 'Viola Beach', 'JAWS', 'Blossoms', 'High Tyde', 'Circa Waves', 'VANT', 'Clean Cut Kid', 'The Luka State', 'Marsicans', 'Vistas', 'Sam Fender', 'The Snuts']"
3pTE9iaJTkWns3mxpNQlJV,Bombay Bicycle Club,58,"['alternative dance', 'british indie rock', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'stomp and holler']","['0vW8z9pZMGCcRtGPGtyqiB', '09K1H1DgyIXHsMx2j7KTFX', '1HOeqtP7tHkKNJNLzQ2tnr', '7cfhZmKaLWzNLwHDxzugUH', '51Eq6WMVEOjjx9KQMAnneG', '3Rsr4Z96O6U3lToOiV3zBh', '5ERkupmHea6uS0nwKr2zcz', '0Ak6DLKHtpR6TEEnmcorKA', '0aeLcja6hKzb7Uz2ou7ulP', '048FBwXjFYBWxSggPDipic', '1SBU4DvQapOFCnxMzENUkp', '3MM8mtgFzaEJsqbjZBSsHJ', '35YNL4wwv11ZkmeWWL51y7', '4zrFO6P7G6EZry0pfxMfKT', '75dQReiBOHN37fQgWQrIAJ', '7FPkZue0zzjHaOPJb4WCw3', '2ARO60gI5do88ho6azmzab', '4W48hZAnAHVOC2c8WH8pcq', '6dgwEwnK0YtDfS9XhRwBTG', '2qlAMLpUyBjZgnzuFXXZXI']","['The Maccabees', 'Mystery Jets', 'Everything Everything', 'Little Comets', 'The Cribs', 'Jamie T', 'Darwin Deez', 'The Vaccines', 'Noah And The Whale', 'Maximo Park', 'Good Shoes', 'Bloc Party', 'We Are Scientists', 'Wild Beasts', 'Local Natives', 'The Pigeon Detectives', 'Django Django', 'The Temper Trap', 'Broken Bells', 'Klaxons']"
2qlAMLpUyBjZgnzuFXXZXI,Klaxons,51,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave']","['4bFfSfCBYpFh37ziXCSqUs', '5ZBQea34QfBgEDkcGEKK2b', '3MM8mtgFzaEJsqbjZBSsHJ', '166Dz1GX3xonSQ3Z6CQW26', '35YNL4wwv11ZkmeWWL51y7', '6ssXMmc5EOUrauZxirM910', '7mDQwcnDUGuSoggxbUtVc1', '2bcrMsFlF632EQ6VZERWFu', '3TBfn8PtXr42OrTPaoC3E8', '0vW8z9pZMGCcRtGPGtyqiB', '2fBURuq7FrlH6z5F92mpOl', '3r6Sk3pYxdJk7MekhBGgMR', '3kdrMtLybQIl93rXJlvF3w', '51Eq6WMVEOjjx9KQMAnneG', '14Gi3Uph96lpNB3utkoVAD', '7EFB09NxZrMi9pGlOnuBpd', '4BntNFyiN3VGG4hhRRZt9d', '09K1H1DgyIXHsMx2j7KTFX', '1SBU4DvQapOFCnxMzENUkp', '18H0sAptzdwid08XGg1Lcj']","['Does It Offend You, Yeah?', 'Late of the Pier', 'Bloc Party', 'The Rapture', 'We Are Scientists', 'White Lies', 'The Rakes', 'The Bravery', 'The Futureheads', 'The Maccabees', 'Digitalism', 'Blood Red Shoes', 'New Young Pony Club', 'The Cribs', 'Hard-FI', 'The Horrors', 'The Subways', 'Mystery Jets', 'Good Shoes', 'Death From Above 1979']"
0Ak6DLKHtpR6TEEnmcorKA,The Vaccines,58,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']","['0vW8z9pZMGCcRtGPGtyqiB', '3M0H4efyA5YcijrKlaKbYn', '7FPkZue0zzjHaOPJb4WCw3', '09K1H1DgyIXHsMx2j7KTFX', '51Eq6WMVEOjjx9KQMAnneG', '1NfJU4hy56Z4UM4iyIa1B2', '1fy3AQc7grjf5LnCd7snSg', '3pTE9iaJTkWns3mxpNQlJV', '4fSPtBgFPZzygkY6MehwQ7', '3Rsr4Z96O6U3lToOiV3zBh', '34nBPbcVc9F9eizQC4a5aT', '048FBwXjFYBWxSggPDipic', '1ctkBmvz80MGyi72Ix055S', '2Z7UcsdweVlRbAk5wH5fsf', '6ssXMmc5EOUrauZxirM910', '450iujbtN6XgiA9pv6fVZz', '0Ya43ZKWHTKkAbkoJJkwIB', '01ZP85CNi7Y9t1e0one46k', '4fgXfJCQnK6c44u4KzAtQP', '1HOeqtP7tHkKNJNLzQ2tnr']","['The Maccabees', 'Miles Kane', 'The Pigeon Detectives', 'Mystery Jets', 'The Cribs', 'Courteeners', 'The View', 'Bombay Bicycle Club', 'The Libertines', 'Jamie T', 'Spector', 'Maximo Park', 'Alex Turner', 'The Last Shadow Puppets', 'White Lies', 'Razorlight', 'The Wombats', 'The Enemy', 'Sundara Karma', 'Everything Everything']"
09K1H1DgyIXHsMx2j7KTFX,Mystery Jets,46,"['alternative dance', 'indie rock', 'modern rock', 'new rave']","['0vW8z9pZMGCcRtGPGtyqiB', '51Eq6WMVEOjjx9KQMAnneG', '1SBU4DvQapOFCnxMzENUkp', '3pTE9iaJTkWns3mxpNQlJV', '7FPkZue0zzjHaOPJb4WCw3', '3TBfn8PtXr42OrTPaoC3E8', '3Rsr4Z96O6U3lToOiV3zBh', '7mDQwcnDUGuSoggxbUtVc1', '35YNL4wwv11ZkmeWWL51y7', '1VyVjE6tvQiM8T8a3WcYQd', '048FBwXjFYBWxSggPDipic', '4kYNTq3njMHBcnv8Di0v0Y', '7cfhZmKaLWzNLwHDxzugUH', '3Sr1muUE6DYihFufoHpnfc', '1HOeqtP7tHkKNJNLzQ2tnr', '1fy3AQc7grjf5LnCd7snSg', '1KlihEB7FggW8e9cMbPXAz', '4fSPtBgFPZzygkY6MehwQ7', '0In4Vd9eYtg6VMNlX9mngU', '3MM8mtgFzaEJsqbjZBSsHJ']","['The Maccabees', 'The Cribs', 'Good Shoes', 'Bombay Bicycle Club', 'The Pigeon Detectives', 'The Futureheads', 'Jamie T', 'The Rakes', 'We Are Scientists', 'Jack Peñate', 'Maximo Park', 'Young Knives', 'Little Comets', 'The Rifles', 'Everything Everything', 'The View', 'Milburn', 'The Libertines', 'Cajun Dance Party', 'Bloc Party']"
6hl5k4gLl1p3sjhHcb57t2,Circa Waves,55,"['britpop revival', 'english indie rock', 'indie surf', 'liverpool indie', 'modern alternative rock', 'modern rock', 'rock']","['4fgXfJCQnK6c44u4KzAtQP', '7jZycSvTyx0W9poD4PjEIG', '22RISwgVJyZu9lpqAcv1F5', '7DruTvBV7owt1aSAZHsU58', '45FqwUG4hTT6d39r2HUsUe', '1ShwUjKIwQRaUJij7jgRhp', '4hfrzKkUsrb3Cz209SKxbo', '3E3NOIlw2s1ZPU9GRB9jaq', '52pNByiBWx6SVMMqqcCA74', '6hWReUQlQwLTYlmZ1vltRB', '7MkyChCSbNBozQ6jq79lop', '5CMAV0Fr8uS2YqlR1ZG5lA', '7243txmysJ4KbRmH8UAMKO', '0vnJ2wR879kbb5MuzblVOb', '4Xxkt0tSJr1uNxGDZcJLRc', '3uhfMjcE5HJqMIWh3Iolw0', '6zlR5ttMfMNmwf2lecU9Cc', '4AzAfQNuAyKOFG4DZMsdAo', '4SrofCfzlhtiKRAsMfBxV4', '7cpCnhhBIU1gA7EhTFApN1']","['Sundara Karma', 'The Hunna', 'Blossoms', 'Viola Beach', 'Sea Girls', 'The Night Café', 'Ten Tonnes', 'JAWS', 'The Magic Gang', 'King No-One', 'Marsicans', 'High Tyde', 'The Amazons', 'Clean Cut Kid', 'VANT', 'The Pale White', 'Sam Fender', 'The Snuts', 'The Sherlocks', 'Gerry Cinnamon']"
